Ano_Mes;CO;N;NE;S;SE
2013_02;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2013_03;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2013_04;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2013_05;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2013_06;Etanol;Gasolina;Gasolina;Gasolina;Gasolina
2013_07;Etanol;Gasolina;Gasolina;Gasolina;Gasolina
2013_08;Etanol;Gasolina;Gasolina;Gasolina;Gasolina
2013_09;Etanol;Gasolina;Gasolina;Gasolina;Gasolina
2013_10;Etanol;Gasolina;Gasolina;Gasolina;Gasolina
2013_11;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2013_12;Etanol;Gasolina;Gasolina;Gasolina;Gasolina
2014_01;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2014_02;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2014_03;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2014_04;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2014_05;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2014_07;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2014_08;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2014_09;Etanol;Gasolina;Gasolina;Gasolina;Gasolina
2014_10;Etanol;Gasolina;Gasolina;Gasolina;Gasolina
2014_11;Etanol;Gasolina;Gasolina;Gasolina;Gasolina
2014_12;Etanol;Gasolina;Gasolina;Gasolina;Gasolina
2015_01;Etanol;Gasolina;Gasolina;Gasolina;Gasolina
2015_02;Etanol;Gasolina;Gasolina;Gasolina;Gasolina
2015_03;Etanol;Gasolina;Gasolina;Gasolina;Gasolina
2015_04;Etanol;Gasolina;Gasolina;Gasolina;Gasolina
2015_05;Etanol;Gasolina;Gasolina;Gasolina;Gasolina
2015_06;Etanol;Gasolina;Gasolina;Gasolina;Gasolina
2015_07;Etanol;Gasolina;Gasolina;Gasolina;Gasolina
2015_08;Etanol;Gasolina;Gasolina;Gasolina;Etanol
2015_09;Etanol;Gasolina;Gasolina;Gasolina;Etanol
